MSA,2000,2010,Number,Percent
"Abilene, TX","160,245","165,252","5,007",3.1
"Akron, OH","694,960","703,200","8,240",1.2
"Albany, GA","157,833","157,308",-525,-0.3
"Albany, OR","103,069","116,672","13,603",13.2
"Albany-Schenectady-Troy, NY","825,875","870,716","44,841",5.4
"Albuquerque, NM","729,649","887,077","157,428",21.6
"Alexandria, LA","145,035","153,922","8,887",6.1
"Allentown-Bethlehem-Easton, PA-NJ","740,395","821,173","80,778",10.9
"Altoona, PA","129,144","127,089","-2,055",-1.6
"Amarillo, TX","228,707","251,933","23,226",10.2
"Ames, IA","79,981","89,542","9,561",12
"Anchorage, AK","319,605","380,821","61,216",19.2
"Ann Arbor, MI","322,895","344,791","21,896",6.8
"Anniston-Oxford-Jacksonville, AL","112,249","118,572","6,323",5.6
"Appleton, WI","201,602","225,666","24,064",11.9
"Asheville, NC","369,171","424,858","55,687",15.1
"Athens-Clarke County, GA","166,079","192,541","26,462",15.9
"Atlanta-Sandy Springs-Roswell, GA","4,263,438","5,286,728","1,023,290",24
"Atlantic City-Hammonton, NJ","252,552","274,549","21,997",8.7
"Auburn-Opelika, AL","115,092","140,247","25,155",21.9
"Augusta-Richmond County, GA-SC","508,032","564,873","56,841",11.2
"Austin-Round Rock, TX","1,249,763","1,716,289","466,526",37.3
"Bakersfield, CA","661,645","839,631","177,986",26.9
"Baltimore-Columbia-Towson, MD","2,552,994","2,710,489","157,495",6.2
"Bangor, ME","144,919","153,923","9,004",6.2
"Barnstable Town, MA","222,230","215,888","-6,342",-2.9
"Baton Rouge, LA","705,973","802,484","96,511",13.7
"Battle Creek, MI","137,985","136,146","-1,839",-1.3
"Bay City, MI","110,157","107,771","-2,386",-2.2
"Beaumont-Port Arthur, TX","400,162","403,190","3,028",0.8
"Beckley, WV","126,799","124,898","-1,901",-1.5
"Bellingham, WA","166,814","201,140","34,326",20.6
"Bend-Redmond, OR","115,367","157,733","42,366",36.7
"Billings, MT","139,946","158,934","18,988",13.6
"Binghamton, NY","252,320","251,725",-595,-0.2
"Birmingham-Hoover, AL","1,052,238","1,128,047","75,809",7.2
"Bismarck, ND","100,828","114,778","13,950",13.8
"Blacksburg-Christiansburg-Radford, VA","165,146","178,237","13,091",7.9
"Bloomington, IL","167,231","186,133","18,902",11.3
"Bloomington, IN","142,349","159,549","17,200",12.1
"Bloomsburg-Berwick, PA","82,387","85,562","3,175",3.9
"Boise City, ID","464,840","616,561","151,721",32.6
"Boston-Cambridge-Newton, MA-NH","4,391,344","4,552,402","161,058",3.7
"Boulder, CO","269,814","294,567","24,753",9.2
"Bowling Green, KY","134,976","158,599","23,623",17.5
"Bremerton-Silverdale, WA","231,969","251,133","19,164",8.3
"Bridgeport-Stamford-Norwalk, CT","882,567","916,829","34,262",3.9
"Brownsville-Harlingen, TX","335,227","406,220","70,993",21.2
"Brunswick, GA","93,044","112,370","19,326",20.8
"Buffalo-Cheektowaga-Niagara Falls, NY","1,170,111","1,135,509","-34,602",-3
"Burlington, NC","130,800","151,131","20,331",15.5
"Burlington-South Burlington, VT","198,889","211,261","12,372",6.2
"California-Lexington Park, MD","86,211","105,151","18,940",22
"Canton-Massillon, OH","406,934","404,422","-2,512",-0.6
"Cape Coral-Fort Myers, FL","440,888","618,754","177,866",40.3
"Cape Girardeau, MO-IL","90,312","96,275","5,963",6.6
"Carbondale-Marion, IL","120,908","126,575","5,667",4.7
"Carson City, NV","52,457","55,274","2,817",5.4
"Casper, WY","66,533","75,450","8,917",13.4
"Cedar Rapids, IA","237,230","257,940","20,710",8.7
"Chambersburg-Waynesboro, PA","129,313","149,618","20,305",15.7
"Champaign-Urbana, IL","210,275","231,891","21,616",10.3
"Charleston, WV","235,938","227,078","-8,860",-3.8
"Charleston-North Charleston, SC","549,033","664,607","115,574",21.1
"Charlotte-Concord-Gastonia, NC-SC","1,717,372","2,217,012","499,640",29.1
"Charlottesville, VA","189,644","218,705","29,061",15.3
"Chattanooga, TN-GA","476,531","528,143","51,612",10.8
"Cheyenne, WY","81,607","91,738","10,131",12.4
"Chicago-Naperville-Elgin, IL-IN-WI","9,098,316","9,461,105","362,789",4
"Chico, CA","203,171","220,000","16,829",8.3
"Cincinnati, OH-KY-IN","1,994,830","2,114,580","119,750",6
"Clarksville, TN-KY","219,630","260,625","40,995",18.7
"Cleveland, TN","104,015","115,788","11,773",11.3
"Cleveland-Elyria, OH","2,148,143","2,077,240","-70,903",-3.3
"Coeur d'Alene, ID","108,685","138,494","29,809",27.4
"College Station-Bryan, TX","184,885","228,660","43,775",23.7
"Colorado Springs, CO","537,484","645,613","108,129",20.1
"Columbia, MO","135,454","162,642","27,188",20.1
"Columbia, SC","647,158","767,598","120,440",18.6
"Columbus, GA-AL","281,768","294,865","13,097",4.6
"Columbus, IN","71,435","76,794","5,359",7.5
"Columbus, OH","1,675,013","1,901,974","226,961",13.5
"Corpus Christi, TX","403,280","428,185","24,905",6.2
"Corvallis, OR","78,153","85,579","7,426",9.5
"Crestview-Fort Walton Beach-Destin, FL","211,099","235,865","24,766",11.7
"Cumberland, MD-WV","102,008","103,299","1,291",1.3
"Dallas-Fort Worth-Arlington, TX","5,204,126","6,426,214","1,222,088",23.5
"Dalton, GA","120,031","142,227","22,196",18.5
"Danville, IL","83,919","81,625","-2,294",-2.7
"Daphne-Fairhope-Foley, AL","140,415","182,265","41,850",29.8
"Davenport-Moline-Rock Island, IA-IL","376,019","379,690","3,671",1
"Dayton, OH","805,816","799,232","-6,584",-0.8
"Decatur, AL","145,867","153,829","7,962",5.5
"Decatur, IL","114,706","110,768","-3,938",-3.4
"Deltona-Daytona Beach-Ormond Beach, FL","493,175","590,289","97,114",19.7
"Denver-Aurora-Lakewood, CO","2,179,240","2,543,482","364,242",16.7
"Des Moines-West Des Moines, IA","481,394","569,633","88,239",18.3
"Detroit-Warren-Dearborn, MI","4,452,557","4,296,250","-156,307",-3.5
"Dothan, AL","130,861","145,639","14,778",11.3
"Dover, DE","126,697","162,310","35,613",28.1
"Dubuque, IA","89,143","93,653","4,510",5.1
"Duluth, MN-WI","275,486","279,771","4,285",1.6
"Durham-Chapel Hill, NC","426,493","504,357","77,864",18.3
"East Stroudsburg, PA","138,687","169,842","31,155",22.5
"Eau Claire, WI","148,337","161,151","12,814",8.6
"El Centro, CA","142,361","174,528","32,167",22.6
"Elizabethtown-Fort Knox, KY","133,896","148,338","14,442",10.8
"Elkhart-Goshen, IN","182,791","197,559","14,768",8.1
"Elmira, NY","91,070","88,830","-2,240",-2.5
"El Paso, TX","682,966","804,123","121,157",17.7
"Erie, PA","280,843","280,566",-277,-0.1
"Eugene, OR","322,959","351,715","28,756",8.9
"Evansville, IN-KY","296,195","311,552","15,357",5.2
"Fairbanks, AK","82,840","97,581","14,741",17.8
"Fargo, ND-MN","174,367","208,777","34,410",19.7
"Farmington, NM","113,801","130,044","16,243",14.3
"Fayetteville, NC","336,609","366,383","29,774",8.8
"Fayetteville-Springdale-Rogers, AR-MO","347,045","463,204","116,159",33.5
"Flagstaff, AZ","116,320","134,421","18,101",15.6
"Flint, MI","436,141","425,790","-10,351",-2.4
"Florence, SC","193,155","205,566","12,411",6.4
"Florence-Muscle Shoals, AL","142,950","147,137","4,187",2.9
"Fond du Lac, WI","97,296","101,633","4,337",4.5
"Fort Collins, CO","251,494","299,630","48,136",19.1
"Fort Smith, AR-OK","255,399","280,467","25,068",9.8
"Fort Wayne, IN","390,156","416,257","26,101",6.7
"Fresno, CA","799,407","930,450","131,043",16.4
"Gadsden, AL","103,459","104,430",971,0.9
"Gainesville, FL","232,392","264,275","31,883",13.7
"Gainesville, GA","139,277","179,684","40,407",29
"Gettysburg, PA","91,292","101,407","10,115",11.1
"Glens Falls, NY","124,345","128,923","4,578",3.7
"Goldsboro, NC","113,329","122,623","9,294",8.2
"Grand Forks, ND-MN","97,478","98,461",983,1
"Grand Island, NE","77,708","81,850","4,142",5.3
"Grand Junction, CO","116,255","146,723","30,468",26.2
"Grand Rapids-Wyoming, MI","930,670","988,938","58,268",6.3
"Grants Pass, OR","75,726","82,713","6,987",9.2
"Great Falls, MT","80,357","81,327",970,1.2
"Greeley, CO","180,926","252,825","71,899",39.7
"Green Bay, WI","282,599","306,241","23,642",8.4
"Greensboro-High Point, NC","643,430","723,801","80,371",12.5
"Greenville, NC","133,798","168,148","34,350",25.7
"Greenville-Anderson-Mauldin, SC","725,680","824,112","98,432",13.6
"Gulfport-Biloxi-Pascagoula, MS","363,988","370,702","6,714",1.8
"Hagerstown-Martinsburg, MD-WV","207,828","251,599","43,771",21.1
"Hammond, LA","100,588","121,097","20,509",20.4
"Hanford-Corcoran, CA","129,461","152,982","23,521",18.2
